feature,semantic_type,dictionary_data_type,feature_description,missing_percent,unique_values,level1_findings,category_inconsistency,level1_status,decision_rule,decision_reason,baseline_action,level2_followup
h1_diasbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, invasively measured",81.7,86,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_diasbp_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.95,107,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_diasbp_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.95,92,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_diasbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",8.01,108,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_diasbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",8.01,93,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_heartrate_max,CONTINUOUS,numeric,The patient's highest heart rate during the first hour of their unit stay,3.04,119,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_heartrate_min,CONTINUOUS,numeric,The patient's lowest heart rate during the first hour of their unit stay,3.04,109,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_mbp_invasive_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, invasively measured",81.61,247,EXTREME_MISSINGNESS | A1_VERY_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_mbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, invasively measured",81.61,133,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_mbp_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",5.06,117,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_mbp_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",5.06,107,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_mbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured",9.9,115,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_mbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, non-invasively measured",9.9,107,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_resprate_max,CONTINUOUS,numeric,The patient's highest respiratory rate during the first hour of their unit stay,4.75,50,A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_resprate_min,CONTINUOUS,numeric,The patient's lowest respiratory rate during the first hour of their unit stay,4.75,91,A1_HIGH_SKEWNESS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
h1_spo2_max,CONTINUOUS,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay,4.56,72,A1_VERY_HIGH_SKEWNESS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
h1_spo2_min,CONTINUOUS,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay,4.56,100,A1_VERY_HIGH_SKEWNESS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
h1_sysbp_invasive_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, invasively measured",81.68,181,EXTREME_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_sysbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, invasively measured",81.68,168,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_sysbp_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.94,149,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_sysbp_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",3.94,142,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_sysbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured",8.0,149,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_sysbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, non-invasively measured",8.0,143,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_temp_max,CONTINUOUS,numeric,"The patient's highest core temperature during the first hour of their unit stay, invasively measured",23.7,294,A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_temp_min,CONTINUOUS,numeric,The patient's lowest core temperature during the first hour of their unit stay,23.7,303,A1_NOTICEABLE_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_albumin_max,CONTINUOUS,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,53.53,35,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_albumin_min,CONTINUOUS,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,53.53,35,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_bilirubin_max,CONTINUOUS,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.52,374,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_bilirubin_min,CONTINUOUS,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,58.52,357,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_bun_max,CONTINUOUS,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.46,495,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_bun_min,CONTINUOUS,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.46,472,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_calcium_max,CONTINUOUS,numeric,The highest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,14.25,47,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_calcium_min,CONTINUOUS,numeric,The lowest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,14.25,49,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_creatinine_max,CONTINUOUS,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.09,1187,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_creatinine_min,CONTINUOUS,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,11.09,1093,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_glucose_max,CONTINUOUS,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.33,538,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_glucose_min,CONTINUOUS,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,6.33,256,A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hco3_max,CONTINUOUS,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,16.43,223,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hco3_min,CONTINUOUS,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,16.43,255,A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hemaglobin_max,CONTINUOUS,numeric,The highest hemoglobin concentration for the patient during the first 24 hours of their unit stay,13.24,105,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hemaglobin_min,CONTINUOUS,numeric,The lowest hemoglobin concentration for the patient during the first 24 hours of their unit stay,13.24,115,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hematocrit_max,CONTINUOUS,numeric,"The highest volume proportion of red blood cells in a patient's blood during the first 24 hours of their unit stay, expressed as a fraction",12.71,312,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_hematocrit_min,CONTINUOUS,numeric,"The lowest volume proportion of red blood cells in a patient's blood during the first 24 hours of their unit stay, expressed as a fraction",12.71,340,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_inr_max,CONTINUOUS,numeric,The highest international normalized ratio for the patient during the first 24 hours of their unit stay,63.18,481,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_inr_min,CONTINUOUS,numeric,The lowest international normalized ratio for the patient during the first 24 hours of their unit stay,63.18,393,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_lactate_max,CONTINUOUS,numeric,The highest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.58,704,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_lactate_min,CONTINUOUS,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,74.58,486,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_platelets_max,CONTINUOUS,numeric,The highest platelet count for the patient during the first 24 hours of their unit stay,14.66,559,A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_platelets_min,CONTINUOUS,numeric,The lowest platelet count for the patient during the first 24 hours of their unit stay,14.66,540,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_potassium_max,CONTINUOUS,numeric,The highest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,10.45,100,A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_potassium_min,CONTINUOUS,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,10.45,116,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_sodium_max,CONTINUOUS,numeric,The highest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,11.12,71,A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_sodium_min,CONTINUOUS,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,11.12,138,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_wbc_max,CONTINUOUS,numeric,The highest white blood cell count for the patient during the first 24 hours of their unit stay,14.36,3098,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_wbc_min,CONTINUOUS,numeric,The lowest white blood cell count for the patient during the first 24 hours of their unit stay,14.36,2774,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_albumin_max,CONTINUOUS,numeric,The lowest albumin concentration of the patient in their serum during the first hour of their unit stay,91.4,37,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_albumin_min,CONTINUOUS,numeric,The lowest albumin concentration of the patient in their serum during the first hour of their unit stay,91.4,37,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_bilirubin_max,CONTINUOUS,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.27,181,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_bilirubin_min,CONTINUOUS,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first hour of their unit stay,92.27,181,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_bun_max,CONTINUOUS,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.88,258,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_bun_min,CONTINUOUS,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first hour of their unit stay,81.88,258,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_calcium_max,CONTINUOUS,numeric,The highest calcium concentration of the patient in their serum during the first hour of their unit stay,82.72,59,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_calcium_min,CONTINUOUS,numeric,The lowest calcium concentration of the patient in their serum during the first hour of their unit stay,82.72,62,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_creatinine_max,CONTINUOUS,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.73,784,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_creatinine_min,CONTINUOUS,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first hour of their unit stay,81.73,777,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_glucose_max,CONTINUOUS,numeric,The highest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.37,601,HIGH_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_glucose_min,CONTINUOUS,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first hour of their unit stay,57.37,588,HIGH_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_hco3_max,CONTINUOUS,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,82.97,214,EXTREME_MISSINGNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_hco3_min,CONTINUOUS,numeric,The lowest bicarbonate concentration for the patient in their serum or plasma during the first hour of their unit stay,82.97,198,EXTREME_MISSINGNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_hemaglobin_max,CONTINUOUS,numeric,The highest hemoglobin concentration for the patient during the first hour of their unit stay,79.73,124,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
